id,Name,titleProject_id,class,score,login,password
178,Байнова Анастасия Вадимовна,363,7б,3,oBB6DRzW,Байнова_АВ
179,Шиловский Вячеслав Максимович,438,9и,4,JuD1oHKY,Шиловский_ВМ
180,Сыждиков Пётр Василиевич,494,11х,5,3aPBRB6e,Сыждиков_ПВ
181,Каценова Алёна Эдуардовна,165,11т,2,vztrPXS2,Каценова_АЭ
182,Мужицких Ева Олеговна,348,8х,3,F8QRltYA,Мужицких_ЕО
183,Плеснецов Степан Юрьевич,22,10а,2,b0ueTlsU,Плеснецов_СЮ
184,Игумнова Алёна Сергеевна,114,9д,4,oy46xrzZ,Игумнова_АС
185,Хадаров Владимир Валериевич,278,11т,5,5kNcv60R,Хадаров_ВВ
186,Ступакова Кира Ивановна,421,8и,3,KSOF6SzL,Ступакова_КИ
187,Шоленинов Федор Максимович,286,11т,4,Dace9yhV,Шоленинов_ФМ
188,Гундаров Руслан Николаевич,158,9д,4,ea4IbTQk,Гундаров_РН
189,Гречишева Марина Андреевна,464,7д,2,sW8pIyu9,Гречишева_МА
190,Утилова Алена Андреевна,253,11д,3,Tm930Y5U,Утилова_АА
191,Роткичева Алиса Максимовна,410,10а,4,m7CSkaxY,Роткичева_АМ
192,Колтышева Марина Вадимовна,87,11г,4,tb61vJ2W,Колтышева_МВ
193,Гурычева Лариса Валерьевна,489,9б,2,4Bv3ehHX,Гурычева_ЛВ
194,Горцева Кристина Никитична,246,8и,4,lvtu0Lyk,Горцева_КН
195,Кутурин Геннадий Денисович,197,9в,2,t5GbBdlj,Кутурин_ГД
196,Стефанков Яков Евгеньевич,318,10г,3,U05vDvdq,Стефанков_ЯЕ
197,Множина Людмила Василевна,90,8б,2,dd8vyvpN,Множина_ЛВ
198,Семисалов Георгий Иванович,316,9в,3,O43K7mrH,Семисалов_ГИ
199,Рогалов Альберт Валериевич,327,9б,2,jQs20aQw,Рогалов_АВ
200,Черетаева Анастасия Олеговна,341,9б,2,6V3EmPdt,Черетаева_АО
201,Радоминова Любовь Игоревна,25,9и,5,3lE3jw0N,Радоминова_ЛИ
202,Шувырина Лиза Андреевна,395,9а,5,2rtCVPsU,Шувырина_ЛА
203,Калиженков Семён Алексеевич,401,11а,4,Ci0rq6Um,Калиженков_СА
204,Старокашин Константин Петрович,309,10а,3,E91cY3T4,Старокашин_КП
205,Малтоцов Аркадий Яковлевич,218,8а,3,m8KsQKhW,Малтоцов_АЯ
206,Кузеванова Ева Егоровна,116,7д,2,NRsz3Ggd,Кузеванова_ЕЕ
207,Нурулина Алёна Егоровна,284,9х,2,1lkA2gqP,Нурулина_АЕ
208,Лератов Герасим Сергеевич,374,10а,4,kM9Laapq,Лератов_ГС
209,Людин Руслан Аркадиевич,498,7и,3,A4DwGxmx,Людин_РА
210,Пурин Виктор Данилович,154,8и,5,eAyXkA0Q,Пурин_ВД
211,Лютов Виктор Юрьевич,288,11г,2,D1hrSebD,Лютов_ВЮ
212,Марюшкина Яна Федоровна,345,10д,5,p5UnEvsS,Марюшкина_ЯФ
213,Томилова Кристина Михайловна,492,11б,3,4xbJjfNV,Томилова_КМ
214,Дистерев Валерий Валериевич,24,7г,3,jy09bAKE,Дистерев_ВВ
215,Дочкин Геннадий Алексиевич,52,11и,5,wN5QtqSm,Дочкин_ГА
216,Иняхин Руслан Сергеевич,234,7и,5,RNZzHCJ2,Иняхин_РС
217,Знайкова Раиса Егоровна,148,11х,3,cmnIOiN8,Знайкова_РЕ
218,Кашавцев Аркадий Леонидович,58,7а,4,FDv2F8kr,Кашавцев_АЛ
219,Пятернина Кристина Андреевна,445,7и,2,aC8P09eB,Пятернина_КА
220,Гусеева Карина Викторовна,263,9и,2,DNc7chox,Гусеева_КВ
221,Кастева Яна Сергеевна,108,7и,2,U8NggjlN,Кастева_ЯС
222,Гришанин Тарас Павлович,113,10т,2,p5oJHl9s,Гришанин_ТП
223,Грамоткин Илья Викторович,195,8д,5,HvCSU1D9,Грамоткин_ИВ
224,Мелисин Геннадий Василиевич,465,10г,2,iP9RrOHG,Мелисин_ГВ
225,Цинина Светлана Яковлевна,105,11г,5,9hsUGXDi,Цинина_СЯ
226,Петов Георгий Адамович,57,9а,2,6jFJO713,Петов_ГА
227,Реева Валентина Максимовна,146,11и,5,x2YWD1L0,Реева_ВМ
228,Слесивых Мария Аркадьевна,35,7и,5,c7UH78de,Слесивых_МА
229,Афтаева Полина Ивановна,193,10д,5,RpmK6R4w,Афтаева_ПИ
230,Кривицкий Валентин Виталиевич,208,8х,5,KFwj8WFM,Кривицкий_ВВ
231,Чубатов Константин Леонидович,279,11а,4,7Lzz2Zxn,Чубатов_КЛ
232,Партенков Геннадий Павлович,418,8х,3,1mlCg0nB,Партенков_ГП
233,Черушев Григорий Борисович,84,7г,4,GCWq6Mlh,Черушев_ГБ
234,Тютекин Георгий Тимофеевич,262,7а,2,w8DrGbmz,Тютекин_ГТ
235,Янкевский Вячеслав Адамович,167,11г,4,pttz9qbW,Янкевский_ВА
236,Сухручкина Клавдия Аркадьевна,177,7в,4,RhghS1dg,Сухручкина_КА
237,Конофалова Клара Петровна,95,11д,5,nxk5vn8Z,Конофалова_КП
238,Лигасов Михаил Павлович,491,11г,4,1vJ6MYWl,Лигасов_МП
239,Писарьков Альберт Игоревич,313,8в,4,4Y5LWHdd,Писарьков_АИ
240,Варов Кирилл Иванович,28,8а,5,rGdFm0DY,Варов_КИ
241,Пурынов Евгений Петрович,244,9и,3,5Glhwk31,Пурынов_ЕП
242,Супрутская Вероника Викторовна,187,9а,2,i2HK6srU,Супрутская_ВВ
243,Скроцкая Алина Федоровна,127,8г,3,NJp9uqe3,Скроцкая_АФ
244,Барадулин Вадим Юрьевич,281,11х,3,FFIsAXn2,Барадулин_ВЮ
245,Точилин Дмитрий Фёдорович,476,8а,2,3T5wUfFu,Точилин_ДФ
246,Бикмуллин Руслан Валериевич,333,11т,2,7uo73qhD,Бикмуллин_РВ
247,Серпичев Василий Алексиевич,394,10х,5,HkoPx0QU,Серпичев_ВА
248,Вострышев Яков Аркадиевич,343,8г,5,7rVOuDqU,Вострышев_ЯА
249,Грушчева София Евгеньевна,480,11в,None,gRQi0Gew,Грушчева_СЕ
250,Кулапов Александр Юрьевич,109,9б,5,r8TXYQNF,Кулапов_АЮ
251,Чибисенков Владислав Фёдорович,375,8х,3,T6HbVp0s,Чибисенков_ВФ
252,Утилов Роман Василиевич,254,9х,2,0sJkWq1t,Утилов_РВ
253,Татаурова Галина Федоровна,145,10т,4,EdWtu94a,Татаурова_ГФ
254,Визавитина Наталия Леонидовна,101,10г,2,701oXhLd,Визавитина_НЛ
255,Мягченков Артём Денисович,115,7б,4,DT5vY9A7,Мягченков_АД
256,Брикова Инна Богдановна,256,9б,4,NhAtbS69,Брикова_ИБ
257,Наторкин Валентин Данилович,319,7и,2,Y7RLxI3Q,Наторкин_ВД
258,Эштрекова Софья Алексеевна,76,9в,3,M8Gfpbpk,Эштрекова_СА
259,Кутаманова Кира Андреевна,182,10т,2,gwvcmr1R,Кутаманова_КА
260,Кыштымова Евгения Эдуардовна,255,8в,5,1zvCvK2B,Кыштымова_ЕЭ
261,Ккнязева Клавдия Дмитриевна,34,7б,5,gObi99CN,Ккнязева_КД
262,Глаголина Алиса Никитична,249,9д,2,ia7LpPeQ,Глаголина_АН
263,Рисина Раиса Валерьевна,451,10а,4,Oi1Gxy6f,Рисина_РВ
264,Ребров Алексей Георгиевич,289,8и,3,3yEjFXCe,Ребров_АГ
265,Вырысалова Александра Евгеньевна,39,11и,2,O4W3zJoD,Вырысалова_АЕ
266,Гомольский Владимир Юриевич,314,11х,5,ymr6zoXi,Гомольский_ВЮ
267,Швинова Марина Федоровна,271,8г,5,5vU6Gxcy,Швинова_МФ
268,Рудковская Инна Дмитриевна,6,7т,3,VVE2aL0e,Рудковская_ИД
269,Решеткина Дарья Василевна,408,10и,3,A5xglYyo,Решеткина_ДВ
270,Евстихеев Игорь Василиевич,422,10х,5,ixgJA3Xm,Евстихеев_ИВ
271,Лазарина Алёна Федоровна,161,8б,3,lbVTo7sQ,Лазарина_АФ
272,Гляченков Григорий Николаевич,431,10а,5,s2rvRObz,Гляченков_ГН
273,Чардынцева Алина Вадимовна,135,10д,3,Es3oIyRz,Чардынцева_АВ
274,Скаредов Яков Иванович,337,9т,5,iNdi5e7D,Скаредов_ЯИ
275,Юрицкий Эдуард Денисович,192,7д,3,9uMNAG96,Юрицкий_ЭД
276,Кравчина Светлана Аркадьевна,413,11г,5,V51kFkmP,Кравчина_СА
277,Чмареткова Полина Вадимовна,449,10а,2,ho8ek3Xr,Чмареткова_ПВ
278,Углова Галина Романовна,260,9г,3,VCz2ZYhG,Углова_ГР
279,Згуровская Виктория Андреевна,220,9т,4,dW048D1A,Згуровская_ВА
280,Секерский Станислав Сергеевич,235,10а,4,bO5Hx5mR,Секерский_СС
281,Жевайкин Евгений Адамович,86,11г,3,ZED8rwSB,Жевайкин_ЕА
282,Коточигов Семён Игоревич,26,9д,5,AqQGql9H,Коточигов_СИ
283,Калонин Альберт Денисович,297,8б,2,GWrlq0pe,Калонин_АД
284,Валягин Григорий Антонович,94,10в,4,25a4UxIO,Валягин_ГА
285,Коцева Кристина Николаевна,412,9г,3,ZMSaXS2q,Коцева_КН
286,Голина Кристина Максимовна,3,7х,3,ZkdnfUI5,Голина_КМ
287,Батрамеев Анатолий Романович,354,9х,3,DSfVou62,Батрамеев_АР
288,Чикмарев Валентин Валериевич,306,9и,5,rivrD6wX,Чикмарев_ВВ
289,Киницына Валерия Олеговна,202,7х,4,vy51YusA,Киницына_ВО
290,Числин Юрий Денисович,121,7в,2,K8XY98wc,Числин_ЮД
291,Стебунова Юлия Романовна,358,9т,3,HSBK19Lb,Стебунова_ЮР
292,Кацов Павел Павлович,236,10г,5,HTRptVj3,Кацов_ПП
293,Гоцев Тарас Викторович,41,8в,3,j7JQzorw,Гоцев_ТВ
294,Мотовицкий Роман Аркадиевич,31,11и,5,dvZN76Sa,Мотовицкий_РА
295,Чурзина Клара Егоровна,308,10б,3,dDCq8Kux,Чурзина_КЕ
296,Щепалкина Валерия Сергеевна,134,9б,4,TB1FXqoM,Щепалкина_ВС
297,Утимишев Ярослав Игоревич,239,11а,3,6JgA04ly,Утимишев_ЯИ
298,Алуханов Кирилл Фёдорович,298,7т,2,UjeFnsN2,Алуханов_КФ
299,Полунеев Валентин Валериевич,307,8и,2,7jZ1sGRa,Полунеев_ВВ
300,Крупенова Наталия Андреевна,209,7в,5,l8mIln58,Крупенова_НА
301,Корнюшин Илья Юрьевич,44,10т,3,aYxK8WtX,Корнюшин_ИЮ
302,Паушева Виолетта Никитична,310,8г,4,A26cew91,Паушева_ВН
303,Берзин Герасим Антонович,349,11т,5,B8VsSieZ,Берзин_ГА
304,Шулунова Алла Алексеевна,54,7д,4,csb8DaeU,Шулунова_АА
305,Трепашова София Яковлевна,399,11а,2,5q4Gb6tY,Трепашова_СЯ
306,Чумейкин Константин Антонович,8,8б,5,ANV32T1q,Чумейкин_КА
307,Польшиков Денис Игоревич,495,9и,2,B3k6z7vV,Польшиков_ДИ
308,Медоусова Жанна Романовна,252,7б,2,98Oby9xw,Медоусова_ЖР
309,Акуратова Клавдия Андреевна,92,9г,5,f99eiVJT,Акуратова_КА
310,Курмеева Елизавета Валерьевна,486,8а,5,Db9Vb3z3,Курмеева_ЕВ
311,Бадов Александр Аркадиевич,217,10г,3,7yXVi0G4,Бадов_АА
312,Бакушин Эдуард Адамович,265,7б,5,nmo2yL2E,Бакушин_ЭА
313,Чебина Инна Сергеевна,273,10т,2,m9RqkFw1,Чебина_ИС
314,Подледнова Наталья Ивановна,112,11и,3,4W8UocuF,Подледнова_НИ
315,Садгеева Лиза Евгеньевна,460,11г,3,8Us4xqOR,Садгеева_ЛЕ
316,Акушин Борис Павлович,493,9т,2,LNI4Bloi,Акушин_БП
317,Аришев Руслан Кириллович,379,10т,3,GEmv9a2e,Аришев_РК
318,Гуслова Кристина Олеговна,389,9в,2,lB0WfGqX,Гуслова_КО
319,Глоточкина Оксана Аркадьевна,370,9и,5,D06jA2SA,Глоточкина_ОА
320,Шапина Маргарита Романовна,163,8б,5,m2XSiqLl,Шапина_МР
321,Дурылин Георгий Валериевич,261,11т,4,He3Svlyi,Дурылин_ГВ
322,Болкисева Анна Викторовна,248,7х,4,ydIve5gR,Болкисева_АВ
